trigger_word,synonyms,keywords,What,Why,How,Symptoms,Notes
sleep,insomnia,"How does sleep affect the heart?,How many hours of sleep should I get each night?","Poor sleep elevates the sympathetic nervous system, throws off circadian rhythms, triggers inflammation, and elevates insulin which raises your blood sugar. Chronically sleep-deprived people who regularly sleep less than 6 hours face a greater risk of hypertension, heart attack, arrhythmias, congestive heart failure, stroke, and death. We recommend getting 7-10 hours of sleep each night to keep your heart healthy. Your MyAdesso journey will help you improve your sleep habits as we provide you with the knowledge, tools, motivations and habits to live your healthiest life.",,,,
stress,"anxiety,depression,mood,PTSD",How does stress affect the heart?,"When your nervous system is activated from stress, anxiety or depression, your heart beats faster, causing the arteries to become stiffer and the heart to work harder. This has longterm negative effects on the heart. When your emotions are calm and collected, your heart beats at a normal pace, with a variation of your heart beat as you breathe. This variation is called heart rate variability. Your MyAdesso journey will help you ground and refresh your heart as we provide you with the knowledge, tools, motivations and habits to live your healthiest life.",,,,
food_insecurity,,What is food insecurity?,"Food insecurity means not having access to enough food, or enough healthy, quality food to meet one's basic needs.  Not having adequate or access to quality, healthy food can contribute to heart risk. ","Food insecurity significantly increases the risk of heart disease due to its impact on nutrition, stress, and overall health. When we aren't nourishing our bodies with enough food to sustain itself or with the kinds of food that contribute to a healthy heart, this can increase our risks of heart problems. ","Here are some of the ways food insecurity affects heart health:

Poor Nutrition: Food insecurity often leads to poor dietary quality because people may rely on inexpensive, calorie-dense, but nutrient-poor foods. These foods are typically high in sodium, unhealthy fats, and added sugars, all of which contribute to obesity, high blood pressure, high cholesterol, and diabetes—key risk factors for heart disease. Limited access to fresh fruits, vegetables, lean proteins, and whole grains exacerbates this issue.

Obesity: Food insecurity is paradoxically linked to higher rates of obesity, particularly in women. People who are food insecure may overeat when food is available or consume cheaper, processed foods high in fat and sugar, leading to weight gain. Obesity is a well-established risk factor for heart disease, hypertension, and other cardiovascular issues.

Increased Stress: The stress associated with food insecurity—worrying about where the next meal will come from or struggling to feed one's family—can elevate cortisol levels in the body. Chronic stress is linked to high blood pressure, inflammation, and other conditions that raise the risk of heart disease.

Impact on Chronic Conditions: Food insecurity makes it more difficult to manage chronic conditions like diabetes and hypertension, which are major contributors to heart disease. For example, those with limited resources may be unable to afford healthy food options that help manage blood sugar and blood pressure or may skip meals, leading to poor blood sugar control.

Limited Healthcare Access: People experiencing food insecurity often have limited access to healthcare, which can delay diagnosis and treatment of heart disease or its risk factors. This lack of access, combined with poor nutrition, exacerbates the progression of cardiovascular diseases.

Economic Disparities: Food insecurity disproportionately affects low-income individuals and ethnic minorities, who are already at greater risk for heart disease due to socioeconomic and healthcare disparities. The inability to afford nutritious food creates a cycle of poor health outcomes that further elevates cardiovascular risk.",,
job,"job_stress,employment,jobless,work_stress,work,unemployment",,"Job stress or a lack of work can increase heart risk by raising blood pressure, contributing to unhealthy lifestyle choices, and leading to long-term stress-related health issues. Chronic stress is linked to a higher risk of heart disease and heart attacks. Managing stress is important for heart health.",,,,
financial,"money,financial_stress,unemployment",,"Financial stress can increase heart risk by causing chronic stress, which raises blood pressure and contributes to unhealthy habits like poor diet and lack of exercise. Over time, this can lead to a higher risk of heart disease and heart attacks. ",,,,
polycystic_ovarian_syndrome,,,"Polycystic Ovarian Syndrome (PCOS) is a common hormonal disorder among women of reproductive age. It can cause irregular menstrual periods, excessive hair growth, acne, and obesity. PCOS is also associated with an increased risk of developing type 2 diabetes, high blood pressure, and heart disease.",,,,
gestational_diabetes,,,"A high blood sugar condition that affects pregnant women. This condition can implicate a risk of type 2 diabetes, later on in life.",,,,
pre-eclampsia,,,A potentially dangerous pregnancy complication characterized by high blood pressure.,,,,
placenta_previa,,,Placenta previa is a condition during pregnancy where the placenta covers the cervix either partially or fully. This can cause severe bleeding during pregnancy and delivery. It's a serious condition that requires careful monitoring and often necessitates a cesarean section.,,,,
family_history,,Why is family history important?,"Family history is crucial in assessing your risk for heart disease because genetics can play a significant role in conditions such as high blood pressure, high cholesterol, and diabetes, which are risk factors for heart disease. Knowing your family history helps healthcare providers and MyAdesso assess your risk and tailor prevention and treatment strategies.",,,,
sudden_cardiac_death,SCD,,"Sudden cardiac death (SCD) occurs when the heart suddenly and unexpectedly stops beating. This is often due to an electrical disturbance in the heart that disrupts its pumping action, stopping blood flow to the rest of the body. ",,,,
aortic_aneurysm,,,"An aortic aneurysm is a bulge in a section of the aorta, the body's main artery. If the aneurysm grows too large, it can burst, causing life-threatening bleeding. Regular monitoring and, in some cases, surgery are needed to prevent rupture.",,,,
atrial_fibrillation,,,"Atrial fibrillation (AFib) is an irregular and often rapid heart rate that can increase your risk of stroke, heart failure, and other heart-related complications. Managing AFib often includes medications, lifestyle changes, and sometimes procedures to restore normal heart rhythm.",,,,
genetic_hypercholesterolemia,Lipoprotein(a),Lp(a),"Genetic hypercholesterolemia is an inherited condition that causes high levels of low-density lipoprotein (LDL) cholesterol, leading to an increased risk of heart disease. Lp(a) is a type of lipoprotein that can also contribute to plaque buildup in the arteries.",,,,
Covid19 ,"Covid_19, Covid, Corona_virus, long_COVID",,"COVID-19 can affect the heart by causing inflammation, increasing the risk of blood clots, and worsening existing heart conditions. This can lead to complications like myocarditis, heart failure, and increased heart risk even in people without prior heart issues.",,,,
elevated_blood_sugars,metabolic syndrome,,"Elevated blood sugars/Metabolic Syndrome is a cluster of conditions including high blood sugar, high blood pressure, and abnormal cholesterol levels. Together, these increase the risk of heart disease, stroke, and diabetes.",,,,
LDL,"high_LDL,high_cholesterol",,"High LDL or high cholesterol means having elevated levels of ""bad"" cholesterol in the blood, which can lead to plaque buildup in the arteries. This increases the risk of heart disease, heart attack, and stroke. ",,,,
triglycerides,high_triglcerides,,"Triglycerides are a type of fat (lipid) in your blood. Your body uses them for energy, but high levels can increase your risk of heart disease. High levels can increase your risk of heart disease, especially when combined with high LDL cholesterol or low HDL cholesterol. 

Triglyceride levels are tested as part of a lipid panel, which is a blood test that measures your total cholesterol, LDL, HDL, and triglycerides. It’s typically recommended to fast for 9-12 hours before the test.",,,,
sleep_apnea,,,Sleep apnea is a sleeping disorder in which breathing repeatedly stops and starts. It can be caused due to age and obesity.  Sleep apnea significantly increases the risk of heart disease and other cardiovascular problems.,"Here are key ways sleep apnea affects heart health:

High Blood Pressure (Hypertension): Sleep apnea can cause or worsen high blood pressure. When breathing stops during sleep, oxygen levels drop, causing the brain to signal the body to constrict blood vessels and increase heart rate. This raises blood pressure and can lead to persistent hypertension over time, which is a major risk factor for heart disease.

Increased Risk of Heart Arrhythmias: Sleep apnea is associated with an increased risk of irregular heartbeats, known as arrhythmias. The repeated drops in oxygen levels can affect the heart's electrical system, leading to conditions like atrial fibrillation (AFib). AFib, in turn, increases the risk of stroke and heart failure.

Higher Risk of Heart Failure: People with sleep apnea are more likely to develop heart failure. The constant strain placed on the heart due to repeated drops in oxygen and the effort needed to restart breathing can weaken the heart over time, leading to heart failure, where the heart struggles to pump blood effectively.

Coronary Artery Disease: Sleep apnea is linked to the development of atherosclerosis, the hardening or narrowing of the arteries, which is a leading cause of coronary artery disease. Reduced oxygen levels cause inflammation and contribute to the buildup of plaque in the arteries, increasing the risk of heart attacks.

Pulmonary Hypertension: In some cases, sleep apnea can lead to pulmonary hypertension, a condition characterized by high blood pressure in the lungs’ arteries. This can strain the right side of the heart and lead to heart failure over time.

Stroke Risk: The relationship between sleep apnea and increased stroke risk is well-documented. The repeated drops in oxygen and sudden surges in blood pressure during sleep can increase the likelihood of a stroke, particularly if other heart-related conditions like AFib are present.

Poor Heart Recovery During Sleep: Normally, the heart rate and blood pressure decrease during restful sleep, allowing the heart to recover. However, in people with sleep apnea, the heart works harder throughout the night, reducing its ability to rest and recover, contributing to long-term cardiovascular damage.",Early detection and treatment of sleep apnea—such as using continuous positive airway pressure (CPAP) devices—can significantly reduce these risks and improve heart health.,,
autoimmune_disease,Systemic lupus erythematosus,,"Autoimmune diseases are conditions in which the body's immune system mistakenly attacks its own healthy cells and tissues. This abnormal immune response leads to inflammation, which can affect various organs and systems, including the cardiovascular system. Common autoimmune diseases include lupus, rheumatoid arthritis, and psoriasis, among others.","Autoimmune diseases can significantly increase the risk of heart disease in several ways:

Chronic Inflammation: Autoimmune diseases often cause long-term, chronic inflammation. Inflammation is a key factor in the development of atherosclerosis, which is the buildup of fatty deposits (plaque) in the arteries. This can narrow the arteries, reduce blood flow, and increase the risk of heart attacks and strokes.

Increased Risk of Atherosclerosis: People with autoimmune diseases are more likely to develop atherosclerosis at an earlier age than those without these conditions. The persistent inflammation associated with autoimmune diseases accelerates the process of plaque formation in the arteries, which can lead to coronary artery disease, a major cause of heart attacks.

Damage to the Heart and Blood Vessels: Autoimmune diseases can directly affect the heart and blood vessels. For instance, lupus can cause inflammation of the heart (myocarditis), the lining around the heart (pericarditis), or the blood vessels themselves (vasculitis), leading to increased cardiovascular risk. Rheumatoid arthritis can similarly affect blood vessels, increasing the likelihood of developing cardiovascular complications.

Increased Risk of Blood Clots: Some autoimmune diseases, such as lupus and antiphospholipid syndrome, increase the risk of blood clots. Blood clots can block blood flow to the heart or brain, causing heart attacks or strokes. The risk of clotting is higher in people with autoimmune diseases due to the abnormal immune response and inflammation that can affect the clotting process.

Complications from Medications: Medications used to treat autoimmune diseases, such as corticosteroids, nonsteroidal anti-inflammatory drugs (NSAIDs), and immunosuppressive therapies, can also contribute to heart disease risk. These medications can cause side effects like high blood pressure, high cholesterol, or weight gain, which are all risk factors for heart disease.

Higher Rates of Traditional Risk Factors: People with autoimmune diseases are more likely to develop traditional cardiovascular risk factors, such as high blood pressure, high cholesterol, and diabetes. The combination of autoimmune disease-related inflammation and these risk factors further increases the risk of cardiovascular events like heart attacks and strokes.
","Managing inflammation and traditional cardiovascular risk factors in people with autoimmune diseases to help reduce their heart disease risk. This can include creating a routine of movement, nourishing yourself through what you consume, reducing stress and building healthy relationships alongside medical treatments, prescriptions, and routines.",,
high_blood_pressure,Hypertension,,"High blood pressure or hypertension, is a condition in which the force of the blood against the artery walls is too high. 
 
You can check your blood pressure using a home blood pressure monitor or at a pharmacy or doctor’s office. It’s important to follow the device’s instructions carefully and measure your blood pressure at the same time each day for consistency.",,,,
cholesterol,,How do I test cholesterol?,"Cholesterol is a waxy, fat-like substance found in all the cells of the body. While the body needs some cholesterol to make hormones, vitamin D, and substances that help digest food, having too much cholesterol in the blood can increase the risk of heart disease.

Cholesterol levels are tested through a blood test called a lipid panel, which measures total cholesterol, LDL, HDL, and triglycerides. It's recommended to fast for 9-12 hours before the test for accurate results.",,"Cholesterol levels are tested through a blood test called a lipid panel, which measures total cholesterol, LDL, HDL, and triglycerides. It's recommended to fast for 9-12 hours before the test for accurate results.",,
HDL,High-density_lipoprotein,"What is HDL?,How do I test HDL?","High-density lipoprotein (HDL) cholesterol is often called 'good' cholesterol because it helps remove other forms of cholesterol from your bloodstream. Higher levels of HDL are associated with a lower risk of heart disease.

HDL cholesterol is tested as part of a lipid panel, which is a blood test that also measures total cholesterol, LDL, and triglycerides. Higher levels of HDL cholesterol are generally associated with a lower risk of heart disease.",,,,
Lp(a),Lipoprotein(a),What is Lp(a)?,"Lipoprotein(a), or Lp(a), is a type of cholesterol that can increase the risk of heart disease and stroke. High levels of Lp(a) contribute to plaque buildup in arteries, making it a significant factor in heart risk.

To test for Lp(a), a specific blood test is required.","Lipoprotein(a), or Lp(a), is tested for heart risk because elevated levels of Lp(a) are associated with an increased risk of cardiovascular diseases, including heart attack, stroke, and aortic valve stenosis. Unlike other forms of cholesterol, Lp(a) is largely determined by genetics and doesn’t respond well to lifestyle changes, which makes it a unique and significant marker for assessing cardiovascular risk",,,
ApoE,Apolipoprotein E,"What is ApoE?,How do you test for ApoE?","Apolipoprotein E (ApoE) is a protein involved in the metabolism of fats in the body. Variations in the ApoE gene can affect cholesterol levels and increase the risk of heart disease.

ApoE is taken as a DNA Test from a Blood or Saliva Sample.","ApoE variants, especially ApoE4, can also influence cholesterol levels and cardiovascular health, so some individuals with high cholesterol or heart disease may undergo testing to see if genetic factors are contributing.",,,
HbA1c,Hemoglobin_A1C,"What is Hemoglobin A1C?,How do you test for Hemoglobin A1C?","The Hemoglobin A1C test measures your average blood sugar levels over the past 2-3 months. It’s used to diagnose and monitor diabetes, and higher A1C levels indicate a greater risk of heart disease.","The Hemoglobin A1C (HbA1c) test is important for assessing heart risk because it provides a measure of long-term blood sugar (glucose) control, which is closely linked to the risk of cardiovascular diseases, especially in people with diabetes or prediabetes",,,
APOB,Apolipoprotein_B,"What is ApolipoproteinB?,How do you test for ApolipoproteinB?","Apolipoprotein B (ApoB) is a protein found in LDL cholesterol and is a better indicator of heart disease risk than LDL cholesterol alone. High levels of ApoB suggest a greater number of atherogenic particles, which can lead to plaque buildup in the arteries.

Apolipoprotein B (ApoB) testing is done through a blood test that measures the level of ApoB in the bloodstream.","Since these lipoproteins are responsible for carrying cholesterol and other fats through the bloodstream, ApoB is a critical marker of cardiovascular risk.",,,
calcium_score,,,"Coronary artery calcification is an indicator of atherosclerosis (plaque buildup in the arteries), which can lead to heart disease, heart attacks, and other cardiovascular events. 

A calcium score is a test that uses CT imaging to measure the amount of calcium in the walls of the coronary arteries. A higher score indicates a higher risk of coronary artery disease and can guide prevention and treatment strategies.","The calcium score test is important for assessing heart risk because it provides direct information about the presence and extent of calcified plaque in the coronary arteries, which is a key indicator of heart disease.",,,
CABG,Coronary Artery Bypass Grafting,,"Coronary Artery Bypass Grafting (CABG) is a surgical procedure to improve blood flow to the heart. It’s used to treat severe coronary artery disease by creating a new route, or bypass, around blocked arteries to restore adequate blood flow.",,,,
peripheral_vascular_disease,,,"Peripheral Vascular Disease (PVD) is a condition where blood vessels outside the heart and brain become narrowed, often due to atherosclerosis. This reduces blood flow to the limbs, causing pain and cramping, especially during physical activity. PVD can contribute to heart risks such as a heart attack or stroke.",,,,
aortic_aneurysm,,,"An aortic aneurysm is a bulge in the wall of the aorta, the body's main artery. If it grows too large, it can rupture, causing life-threatening bleeding.",,,,
atrial_fibrillation,,,"Atrial Fibrillation (AFib) is an irregular, often rapid heart rate that increases the risk of stroke, heart failure, and other heart-related complications. ",,,,
